Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
IZYgunT4LMGlightmachinegunMG34RDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : ライトマシンガン. \n[00FF00]アトリビュート[-] : 不屈./[00FF00]パーク[-] : マシンガンナー.\n[00FF00]使用弾薬[-] : 7.62mm.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : Machinegun parts. \n[00FF00]Unique Ability[-] : attachs with Full-Auto/Burst-fire trigger group will turn this gun into the MG-42.,,,,,,,
IZYgunT0SMGPIPEsubmachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : Shitty SMG. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : 金属パイプ.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].\n[00FF00]Model made by[-] : [ff8000]Swope25[-].,,,,,,,
IZYgunT1SMGTec9submachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT2SMGUZIsubmachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT3SMGMP9submachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT4SMGCZScorpionEVO3Desc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT3SMGMP5KsubmachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT4SMGColt9mmsubmachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : サブマシンガン. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT1DualPistolCOLTnavyRevolverDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : デュアル・ピストル. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : Look Cool :D.,,,,,,,
IZYgunT2DualPistolM9bsDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : デュアル・ピストル. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT3DualPistolGlock18CDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : デュアル・ピストル. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT4DualPistolMP9sDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : デュアル・ピストル. \n[00FF00]アトリビュート[-] : 機敏./[00FF00]パーク[-] : ガンスリンガー.\n[00FF00]使用弾薬[-] : 9mm.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : ピストル parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT5HeavyWeaponM134MinigunGatlingDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : ヘビーウェポン - MG. \n[00FF00]アトリビュート[-] : 不屈./[00FF00]パーク[-] : マシンガンナー.\n[00FF00]使用弾薬[-] : 7.62mm.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : Machinegun parts. \n[00FF00]Tip[-] : Use Steroid to reduce recoil.,,,,,,,
IZYgunT5HeavyWeaponM2flameThrowerDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : ヘビーウェポン - 火炎放射器. \n[00FF00]アトリビュート[-] : - ./[00FF00]パーク[-] : - .\n[00FF00]使用弾薬[-] : Napalm.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : -.,,,,,,,
IZYgunT1TradshotgunDoubleBarrelOverUnderDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT2TradshotgunLeveractionShotgunModel1887Desc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT3TradshotgunTrenchGunM1897Desc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT4TradshotgunBrowningAuto5Desc,items,gun,,,,,,,,,[00FF00]武器種[-] : ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT1TACCompactshotgunSuperShorttyDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYgunT3TACshotgunSPAS12GDesc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : リペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : Fullauto / burst will switch the Semi-Auto Mode.,,,,,,,
IZYgunT4TACshotgunM1014Desc,items,gun,,,,,,,,,[00FF00]武器種[-] : Tactical ショットガン. \n[00FF00]アトリビュート[-] : 筋力./[00FF00]パーク[-] : ブームスティック.\n[00FF00]使用弾薬[-] : ショットガン Shell.\n[00FF00]修理道具[-] : アドバンスドリペアキット.\n[00FF00]素材[-] : ショットガン parts. \n[00FF00]Unique Ability[-] : [ff8000]None[-].,,,,,,,
IZYmodPistolHoldstyle01Desc,item_modifiers,mod,,,,,,,,,ハンドガンの構え方を変更する（バリエーション1）。,,,,,,,
IZYmodPistolHoldstyle02Desc,item_modifiers,mod,,,,,,,,,ハンドガンの構え方を変更する（バリエーション2）。,,,,,,,
modGunReflexSightADesc,item_modifiers,mod,,,,,,,,,素早い目標捕捉のために設計された光学サイト。武器取り回しが向上する。,,,,,,,
modGunReflexSightBDesc,item_modifiers,mod,,,,,,,,,素早い目標捕捉のために設計された光学サイト。武器取り回しが向上する。,,,,,,,
modGunFlashHiderDesc,item_modifiers,mod,,,,,,,,,マズルフラッシュ抑制装置（開発中）。,,,,,,,
perkAutoWeaponsCompleteDesc,progression,perk  book,,,,,,,,,キル毎に20秒間、走行速度+20%。全5.56mm弾をまとめて作成可能になる。,,,,,,,
perkAutoWeaponsCompleteLongDesc,progression,perk  book,,,,,,,,,"オフェンシブストライク：戦闘中のアドレナリンを推進力に変え、敵との距離を一気に詰める。キル毎に20秒間、走行速度+20%。
大量生産：全5.56mm弾の大口径まとめ作成を習得する。",,,,,,,
perkAutoWeapons0Desc,progression,perk  book,,,,,,,,,元軍人の射撃教官「サージ」レナード・バートンから、5.56mm／7.62mmの自動火器の運用・整備・極めかたを学ぶ。,,,,,,,
gunMGT0PipeMachineGunDesc,items,Gun,,,,,,,,,A home-made automatic weapon firing 7.62mm ammo. \n[00FF00]武器種[-]: Improvised machine gun. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: マシンガンナー. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: Short Iron Pipe. \n[00FF00]素材[-]: Scrap Iron.,,,,,,,
gunMGT1AK47Desc,items,Gun,,,,,,,,,This badass AK-47 machine gun uses 7.62mm ammo. \n[00FF00]武器種[-]: アサルトライフル. \n[00FF00]アトリビュート[-]: 不屈.   [00FF00]パーク[-]: マシンガンナー. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Machine Gun Parts.,,,,,,,
gunMGT2TacticalARDesc,items,Gun,,,,,,,,,This tactical assault rifle uses 7.62mm ammo. \n[00FF00]武器種[-]: アサルトライフル. \n[00FF00]アトリビュート[-]: 不屈.   [00FF00]パーク[-]: マシンガンナー. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Machine Gun Parts.,,,,,,,
gunMGT3M60Desc,items,Gun,,,,,,,,,This machine gun is somewhat cumbersome to use but excels at sustained automatic fire. \n[00FF00]武器種[-]: General-purpose machine gun. \n[00FF00]アトリビュート[-]: 不屈.   [00FF00]パーク[-]: マシンガンナー. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Machine Gun Parts.,,,,,,,
gunRifleT0PipeRifleDesc,items,Gun,,,,,,,,,A home-made rifle firing 7.62mm ammo. \n[00FF00]武器種[-]: Improvised rifle. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: デッドアイ. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: Short Iron Pipe. \n[00FF00]素材[-]: Scrap Iron.,,,,,,,
gunRifleT1HuntingRifleDesc,items,Gun,,,,,,,,,This common farmer's hunting rifle uses 7.62mm ammo. \n[00FF00]武器種[-]: Bolt-action rifle. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: デッドアイ. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Rifle Parts.,,,,,,,
gunRifleT2LeverActionRifleDesc,items,Gun,,,,,,,,,This lever-action rifle uses 7.62mm ammo and is your first choice if you want to make that shot count. \n[00FF00]武器種[-]: Classic rifle. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: デッドアイ. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Rifle Parts.,,,,,,,
gunRifleT3SniperRifleDesc,items,Gun,,,,,,,,,"This high precision, long ranged rifle is perfect for sniping enemies at great distances. \n[00FF00]武器種[-]: マークスマンライフル. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: デッドアイ. \n[00FF00]使用弾薬[-]: 7.62mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Rifle Parts.",,,,,,,
gunHandgunT0PipePistolDesc,items,Gun,,,,,,,,,A home-made revolver firing 9mm ammo. \n[00FF00]武器種[-]: Improvised revolver. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: 9mm. \n[00FF00]修理道具[-]: Short Iron Pipe. \n[00FF00]素材[-]: Scrap Iron. \n[00FF00]Notes[-]: Better than nothing.,,,,,,,
gunHandgunT1PistolDesc,items,Gun,,,,,,,,,[00FF00]武器種[-]: Common pistol. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: 9mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,
gunHandgunT3SMG5Desc,items,Gun,,,,,,,,,[00FF00]武器種[-]: Submachine gun. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: 9mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,
IZYgunT1Pistol9MakarovDesc,items,gun,,,,,,,,,[00FF00]武器種[-]: ピストル. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: 9mm. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: [ff8000]None[-].,,,,,,,
gunShotgunT0PipeShotgunDesc,items,Gun,,,,,,,,,"A home-made gun firing shotgun shells. Effective at very close ranges. \n[00FF00]武器種[-]: Improvised shotgun. \n[00FF00]アトリビュート[-]: 筋力.   [00FF00]パーク[-]: ブームスティック. \n[00FF00]使用弾薬[-]: ショットガン Shell. \n[00FF00]修理道具[-]: Short Iron Pipe. \n[00FF00]素材[-]: Scrap Iron. \n[00FF00]Unique Ability[-]: Better than nothing, but barely.",,,,,,,
gunShotgunT1DoubleBarrelDesc,items,Gun,,,,,,,,,"A rusty double-barreled shotgun, great for close range carnage. \n[00FF00]武器種[-]: ショットガン. \n[00FF00]アトリビュート[-]: 筋力.   [00FF00]パーク[-]: ブームスティック. \n[00FF00]使用弾薬[-]: ショットガン Shell. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ショットガン Parts.",,,,,,,
gunShotgunT2PumpShotgunDesc,items,Gun,,,,,,,,,A classic long-barreled shotgun with pump-action loading. \n[00FF00]武器種[-]: Pump-action shotgun. \n[00FF00]アトリビュート[-]: 筋力.   [00FF00]パーク[-]: ブームスティック. \n[00FF00]使用弾薬[-]: ショットガン Shell. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ショットガン Parts.,,,,,,,
gunShotgunT3AutoShotgunDesc,items,Gun,,,,,,,,,A rare and devastating short range weapon capable of making minced meat out of anything in its path. \n[00FF00]武器種[-]: Semi-automatic shotgun. \n[00FF00]アトリビュート[-]: 筋力.   [00FF00]パーク[-]: ブームスティック. \n[00FF00]使用弾薬[-]: ショットガン Shell. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ショットガン Parts.,,,,,,,
gunHandgunT2Magnum44Desc,items,Gun,,,,,,,,,[00FF00]武器種[-]: Powerful revolver. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: .44 Magnum. \n[00FF00]修理道具[-]: リペアキット. / [00FF00]素材[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Hand cannon. \n[00FF00]Notes[-]: The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.,,,,,,,
gunHandgunT3DesertVultureDesc,items,Gun,,,,,,,,,[00FF00]武器種[-]: Heavy pistol. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: ガンスリンガー. \n[00FF00]使用弾薬[-]: .44 Magnum. \n[00FF00]修理道具[-]: リペアキット. / [00FF00]素材[-]: Handgun Parts. \n[00FF00]Unique Ability[-]: Semi-automatic hand cannon.,,,,,,,
IZYgunT3TechnicalNailmachinegunDesc,items,gun,,,,,,,,,[00FF00]武器種[-]: A nailgun modified to fire in a fully automatic mode. \n[00FF00]アトリビュート[-]: 知能.   [00FF00]パーク[-]: TBD. \n[00FF00]使用弾薬[-]: Nails. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Robotics Parts.,,,,,,,
gunExplosivesT3RocketLauncherDesc,items,Gun,,,,,,,,,A ロケットランチャー shoots rocket propelled grenades. \n[00FF00]使用弾薬[-]: Rocket HE or Rocket Frag. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ロケットランチャー Parts. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 50.,,,,,,,
ammoRocketHEDesc,items,Ammo,,,,,,,,,A high explosive rocket used as rocket launcher ammunition can be crafted at a forge and workbench once you've gained the perk. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 45.,,,,,,,
ammoRocketFragDesc,items,Ammo,,,,,,,,,A fragmentation rocket used as rocket launcher ammunition can be crafted at a forge and workbench once you've gained the perk. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 45.,,,,,,,
ammo25mmGrenadeTrainingDesc,items,gun,,,,,,,,,25mm Training Grenade. \n[00FF00]Usage[-]: Deals direct damage to a single enemy. Use against tanky targets. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 45.,,,,,,,
ammo25mmGrenadeFRAGSDesc,items,gun,,,,,,,,,25mm Fragmentation Grenade. \n[00FF00]Usage[-]: Use against multiple targets in a wide area. Doesn't damage blocks. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 50.,,,,,,,
ammo25mmGrenadeHEDesc,items,gun,,,,,,,,,25mm High Explosive Grenade. \n[00FF00]Usage[-]: Does high damage in a small area. Great against small groups of tanky targets. Safe to use in restricted spaces. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 50.,,,,,,,
ammoRocketRPGTraningDesc,items,gun,,,,,,,,,A self-propelled 40mm Training Grenade. \n[00FF00]Usage[-]: Deals direct damage to a single enemy. Use against tanky targets. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 55.,,,,,,,
ammoRocketRPGHEDesc,items,gun,,,,,,,,,A self-propelled 40mm High Explosive Grenade. \n[00FF00]Usage[-]: Does high damage in a large area. Great against multiple targets. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 60.,,,,,,,
ammoRocketRPGIncendiaryDesc,items,gun,,,,,,,,,A self-propelled 40mm High Explosive/Incendiary Grenade. \n[00FF00]Usage[-]: Does high damage in a wide area and sets multiple targets on fire. Doesn't damage blocks. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 60.,,,,,,,
IZYgunT2LGLChinalakeGrenadeLauncherDesc,items,gun,,,,,,,,,A pump-action 40mm grenade launcher adapted to fire 25mm Grenades. \n[00FF00]使用弾薬[-]: 25mm Grenade. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ロケットランチャー Parts. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 45.,,,,,,,
IZYgunT3LGLXM25Desc,items,gun,,,,,,,,,An experimental automatic grenade launcher. \n[00FF00]使用弾薬[-]: 25mm Grenade. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ロケットランチャー Parts. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 50.,,,,,,,
IZYgunT3RocketLauncherRPG7Desc,items,gun,,,,,,,,,Everyone knows the RPG-7!\n[00FF00]使用弾薬[-]: 40mm Grenade. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: ロケットランチャー Parts. \n[00FF00]Skill Magazine[-]: Explosive Magazine. \n[00FF00]Required Skill Level[-]: 50.,,,,,,,
gunBowT0PrimitiveBowDesc,items,Gun,,,,,,,,,Good for hunting and killing zombies. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Arrows. \n[00FF00]修理道具[-]: Wood. \n[00FF00]素材[-]: Wood.,,,,,,,
gunBowT1WoodenBowDesc,items,Gun,,,,,,,,,Good for hunting and killing zombies. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Arrows. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Bow / Crossbow Parts.,,,,,,,
gunBowT3CompoundBowDesc,items,Gun,,,,,,,,,A compound bow does more damage and arrows fly straighter which makes it easier to aim. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Arrows. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Bow / Crossbow Parts.,,,,,,,
gunBowT1IronCrossbowDesc,items,Gun,,,,,,,,,A basic iron crossbow is slow to reload but does more damage than a bow. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Bolts. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Bow / Crossbow Parts. \n[00FF00]Unique Ability[-]: Fires underwater.,,,,,,,
gunBowT3CompoundCrossbowDesc,items,Gun,,,,,,,,,A compound crossbow is slow to reload but does more damage than a bow. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Bolts. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Bow / Crossbow Parts. \n[00FF00]Unique Ability[-]: Fires underwater.,,,,,,,
IZYgunT4BowVanhelsingAutomaticCrossbowVHDesc,items,Gun,,,,,,,,,[00FF00]武器種[-]: Repeating crossbow. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Archery. \n[00FF00]使用弾薬[-]: Light Bolts. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Bow / Crossbow Parts. \n[00FF00]Unique Ability[-]: Fires underwater.,,,,,,,
IZYgunTminus1MusketM1777RifleDesc,items,Gun,,,,,,,,,"[00FF00]武器種[-]: Musket. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: デッドアイ. \n[00FF00]使用弾薬[-]: Muzzleloader Ammo. \n[00FF00]修理道具[-]: リペアキット. \n[00FF00]素材[-]: Scrap Iron. \n[00FF00]Unique Ability[-]: Old school, baby!.",,,,,,,
IZYMeleeT4BladeKatanaDesc,items,Melee,,,,,,,,,[00FF00]武器種[-]: Two-handed sword. \n[00FF00]アトリビュート[-]: 機敏.   [00FF00]パーク[-]: Deep Cuts. \n[00FF00]Usage[-]: Merges light and power attacks in one. Left-click to attack. Right-click to block. \n[00FF00]修理道具[-]: アドバンスドリペアキット. \n[00FF00]素材[-]: Machete Parts. \n[ff8000]Note[-]: Attack speed must stay at 105.,,,,,,,
IZYMeleeT4SledghammerSpikeMaceDesc,items,Melee,,,,,,,,,[00FF00]武器種[-]: Two-handed spiked mace. \n[00FF00]アトリビュート[-]: 筋力.   [00FF00]パーク[-]: Skull Crusher. \n[00FF00]Usage[-]: Merges light and power attacks in one. Left-click to attack. Right-click to block. \n[00FF00]修理道具[-]: アドバンスドリペアキット. \n[00FF00]素材[-]: Steel Sledghammer Parts. \n[ff8000]Note[-]: Attack speed must stay at 52.,,,,,,,
IZYMeleeT4SpearPoleAxeDesc,items,Melee,,,,,,,,,[00FF00]武器種[-]: Two-handed multipurpose weapon. \n[00FF00]アトリビュート[-]: 知覚.   [00FF00]パーク[-]: Spear Master. \n[00FF00]Usage[-]: Left-click to perform a horizontal sweep attack. Right-click to thrust like a regular spear. \n[00FF00]修理道具[-]: アドバンスドリペアキット. \n[00FF00]素材[-]: Steel Spear Parts. \n[ff8000]Note[-]: Attack speed must stay at 60.,,,,,,,

# === Fast Travel ===
npcFastTravel,,,,,,,,,,,ヘリコプターの操縦士,,,,,,,
npcTeleportRadio_statement_start,,,,,,,,,,,よう旅人。{cvar($FastTravelCost)}デュークで、過去に訪れたトレーダーまで連れて行ってやるぜ。,,,,,,,
npcTeleportRadio_dialogstring,,,,,,,,,,,[F9B000]{0}[-]（[F9B000]{1}[-]、[F9B000]{2}[-]）まで [F9B000]${3}[-] で移動。,,,,,,,
npcTeleportRadio_NotEnoughMoney,,,,,,,,,,,デュークが足りない。,,,,,,,

# === Medical conditions (Names + tooltips + items) ===
statdDurationElectrolyte,ui_display,Item stat,,,,,,,,,電解質補給,,,,,,,
statdDurationDiseaseTreatment,ui_display,Item stat,,,,,,,,,病気治療,,,,,,,
statdDurationAnticoagulants,ui_display,Item stat,,,,,,,,,抗凝固剤,,,,,,,
statdDurationDiuretics,ui_display,Item stat,,,,,,,,,利尿剤,,,,,,,
statdSuppressionDuration,ui_display,Item stat,,,,,,,,,痛み抑制,,,,,,,
statdAlcoholDuration,ui_display,Item stat,,,,,,,,,アルコール緩和,,,,,,,
buffRestName,buffs,Buff,,,,,,,,,休息,,,,,,,
buffRestDesc,buffs,Buff,,,,,,,,,"ベッドで時間を過ごし休息した。
持病の症状が一時的に抑制される。",,,,,,,
buffDrugPainkillersSuppressionName,buffs,Buff,,,,,,,,,ネガティブ効果の抑制,,,,,,,
buffDrugPainkillersSuppressionDesc,buffs,Buff,,,,,,,,,"痛みが和らぐ、なんという解放感だ。
一部の持病の症状が一時的に抑制される。",,,,,,,
buffElectrolytesName,buffs,Buff,,,,,,,,,電解質,,,,,,,
buffElectrolytesDesc,buffs,Buff,,,,,,,,,必須電解質を多く含む水分を摂取した。発汗や疾病で失われた重要なミネラルが体内に補充され、再水和が始まる。,,,,,,,
buffRhabdomyolysisName,buffs,Buff,,,,,,,,,横紋筋融解症,,,,,,,
